Sequence,Frequency
Australia-,
Australia-pledged,5800
Australia-resettled,5800
Austria-,
Austria-pledged,1900
Austria-resettled,1500
Belarus-,
Belarus-pledged,20
Belarus-resettled,20
Belgium-,
Belgium-pledged,475
Belgium-resettled,475
Brazil-,
Brazil-pledged,8387
Brazil-resettled,7380
Canada-,
Canada-pledged,38089
Canada-resettled,36300
Czech Rep.-,
Czech Rep.-pledged,70
Czech Rep.-resettled,70
Denmark-,
Denmark-pledged,390
Denmark-resettled,390
Finland-,
Finland-pledged,1900
Finland-resettled,1150
France-,
France-pledged,1000
France-resettled,1000
Germany-,
Germany-pledged,41899
Germany-resettled,38500
Hungary-,
Hungary-pledged,30
Hungary-resettled,30
Iceland-,
Iceland-pledged,75
Iceland-resettled,75
Ireland-,
Ireland-pledged,610
Ireland-resettled,610
Italy-,
Italy-pledged,1400
Italy-resettled,350
Liechtenstein-,
Liechtenstein-pledged,25
Liechtenstein-resettled,25
Luxembourg-,
Luxembourg-pledged,60
Luxembourg-resettled,60
Netherlands-,
Netherlands-pledged,500
Netherlands-resettled,500
New Zealand-,
New Zealand-pledged,850
New Zealand-resettled,850
Norway-,
Norway-pledged,9000
Norway-resettled,9000
Poland-,
Poland-pledged,900
Poland-resettled,900
Portugal-,
Portugal-pledged,118
Portugal-resettled,48
Romania-,
Romania-pledged,40
Romania-resettled,40
Spain-,
Spain-pledged,984
Spain-resettled,130
Sweden-,
Sweden-pledged,2700
Sweden-resettled,2700
Switzerland-,
Switzerland-pledged,2000
Switzerland-resettled,2000
UK-,
UK-pledged,20000
UK-resettled,216
Uruguay-,
Uruguay-pledged,120
Uruguay-resettled,120
USA-,
USA-pledged,32369
USA-resettled,1999
